3-2-1 Blast Off!  (6-11 yrs.)           ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/18/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/18/2018
Adapted Fishing for Fun (7-13 yrs)      ,Lake Fairfax Park                       ,10am Sat                                                                                             ,6/23/2018
Fishing Fun (7-11 yrs)                  ,Lake Fairfax Park                       ,9am Sat                                                                                              ,6/23/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,6/23/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,6/23/2018
JGS-Animal Habitats                     ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,6/23/2018
Mountain Biking Camp (9-14 yrs)         ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,6/25/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/25/2018
Xtreme Camp (9-14 yrs)                  ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,6/25/2018
Skateboard Camp (5-12 yrs)              ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,6/25/2018
Lakeside Scientist Camp (9-13 yrs.)     ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/25/2018
Paddle & Explore (8-14 yrs)             ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,6/25/2018
Bike Riding Camp (8-12 yrs)             ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,6/25/2018
Catch Some Outdoor Fun (3-6 yrs.)       ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/25/2018
Wheel Action:Skateboard & Biking(8-12yr),Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,6/25/2018
Silver Knights Coding Camp (7-12yrs.)   ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,6/25/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,6/25/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,6/25/2018
Night Hike & S'mores Campfire           ,Lake Fairfax Park                       ,8pm Tue                                                                                              ,6/26/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,6/30/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,6/30/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Thu/Fri                                                                                  ,7/2/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,7/7/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/7/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Baseball Camp (7-12 yrs)                ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Big Fish Camp (10-16 yrs)               ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/9/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Girls Computer Programming (8-13 yrs.)  ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/9/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/14/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,7/14/2018
SGS Journey: Sow What?                  ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/14/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/16/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/16/2018
Sewing: T-Shirt QUilting (8-12 yrs.)    ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/16/2018
Catch Some Outdoor Fun (3-6 yrs.)       ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/16/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/16/2018
JGS-Camper                              ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/21/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,7/21/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/21/2018
Baseball Camp (7-12 yrs)                ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Young Anglers Camp (7-10 yrs)           ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,7/23/2018
Catch Some Outdoor Fun (3-6 yrs.)       ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Lakeside Scientist Camp (9-13 yrs.)     ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Digital Kidz Battle Bots (8-13 yrs.)    ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/23/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/28/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,7/28/2018
BGS-Hiker                               ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,7/28/2018
Baseball Camp (7-12 yrs)                ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/30/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/30/2018
Business of Sports Management (8-14yrs) ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,7/30/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,7/30/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,7/30/2018
JGS-Animal Habitats                     ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,8/4/2018
Exploring Nature Series-Summer 13-Adult ,Lake Fairfax Park                       ,3:30pm Sat                                                                                           ,8/4/2018
Exploring Nature Series-Summer 6-12 yrs ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,8/4/2018
Baseball Camp (7-12 yrs)                ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Paddle & Explore (8-14 yrs)             ,Lake Fairfax Park                       ,8:30am Mon/Tue/Wed/Thu/Fri                                                                           ,8/6/2018
Lakeside Scientist Camp (9-13 yrs.)     ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,8am Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camp Extended Care (5-15 yrs)           ,Lake Fairfax Park                       ,4pm Mon/Tue/Wed/Thu/Fri                                                                              ,8/6/2018
Camping Merit Badge                     ,Lake Fairfax Park                       ,10am Sat                                                                                             ,8/11/2018
Flight Academy by Mad Science (7-12 yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/13/2018
Catch Some Outdoor Fun (6-10 yrs)       ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/13/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/13/2018
Campfire & Night Senses                 ,Lake Fairfax Park                       ,8pm Tue                                                                                              ,8/14/2018
SGS Journey: Sow What?                  ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,8/18/2018
Lakeside Splash & Explore Camp (6-11yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/20/2018
Catch Some Outdoor Fun (6-10 yrs)       ,Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/20/2018
Abrakadoodle's World Travel Art(6-12yrs),Lake Fairfax Park                       ,9am Mon/Tue/Wed/Thu/Fri                                                                              ,8/20/2018
BGS-Home Scientist                      ,Lake Fairfax Park                       ,2pm Sat                                                                                              ,8/25/2018
Dinosaurs Galore (3-7 yrs)              ,Cub Run RECenter                        ,2pm Sat                                                                                              ,4/21/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,7:45pm Mon/Wed                                                                                       ,4/30/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,5:40pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,5:10pm Tue/Thu                                                                                       ,5/1/2018
